Year,City,Category,Gold,Silver,Bronze,Total,4,5,6,7,8
2024,Paris,All,1,2,1,4,24,5,6,7,18
2024,Paris,Men,0,2,1,3,1,0,0,0,0
2024,Paris,Women,1,0,0,1,1,0,0,0,1
2020,Tokyo,All,1,0,2,3,4,15,16,7,28
2020,Tokyo,Men,1,0,1,2,0,1,0,0,0
2020,Tokyo,Women,0,0,1,1,0,0,1,0,2
2016,Rio de Janeiro,All,1,0,1,2,4,15,36,17,8
2016,Rio de Janeiro,Men,1,0,0,1,0,0,2,1,0
2016,Rio de Janeiro,Women,0,0,1,1,0,1,1,0,0
2012,London,All,0,0,1,1,4,25,16,7,8
2012,London,Men,0,0,1,1,0,1,1,0,0
2012,London,Women,0,0,0,0,0,1,0,0,0
2008,Beijing,All,0,0,1,1,4,15,6,7,8
2008,Beijing,Men,0,0,0,0,0,1,0,0,0
2008,Beijing,Women,0,0,1,1,0,0,0,0,0
2004,Athens,All,1,0,0,1,4,15,6,7,18
2004,Athens,Men,1,0,0,1,0,0,0,0,1
2004,Athens,Women,0,0,0,0,0,1,0,0,0
2000,Sydney,All,2,0,1,3,14,5,16,17,18
2000,Sydney,Men,0,0,1,1,1,0,0,1,1
2000,Sydney,Women,2,0,0,2,0,0,1,0,0
1996,Atlanta,All,4,1,0,5,24,15,16,27,38
1996,Atlanta,Men,2,0,0,2,2,1,0,1,2
1996,Atlanta,Women,2,1,0,3,0,0,1,1,1
1992,Barcelona,All,2,1,0,3,24,15,6,7,8
1992,Barcelona,Men,2,1,0,3,2,1,0,0,0
1988,Seoul,All,0,0,0,0,4,25,16,17,8
1988,Seoul,Men,0,0,0,0,0,2,1,1,0
1984,Los Angeles,All,1,0,0,1,14,15,6,7,8
1984,Los Angeles,Men,1,0,0,1,1,0,0,0,0
1984,Los Angeles,Women,0,0,0,0,0,1,0,0,0
1980,Moscow,All,0,0,0,0,24,15,6,17,18
1980,Moscow,Men,0,0,0,0,2,1,0,1,1
1976,Montreal,All,0,1,0,1,4,25,6,7,28
1976,Montreal,Men,0,1,0,1,0,2,0,0,2
1972,Munich,All,0,0,0,0,4,15,6,17,18
1972,Munich,Men,0,0,0,0,0,1,0,1,1
1968,Mexico City,All,1,1,2,4,24,25,6,7,18
1968,Mexico City,Men,1,1,2,4,2,2,0,0,1
1964,Tokyo,All,3,5,0,8,4,5,6,7,8
1964,Tokyo,Men,3,5,0,8,0,0,0,0,0
1960,Rome,All,5,1,1,7,4,5,6,7,8
1960,Rome,Men,5,1,1,7,0,0,0,0,0
1956,Melbourne,All,3,1,1,5,14,5,6,17,8
1956,Melbourne,Men,3,1,1,5,1,0,0,1,0
1952,Helsinki,All,2,2,1,5,4,15,16,17,8
1952,Helsinki,Men,2,2,1,5,0,1,1,1,0
1948,London,All,2,1,0,3,14,5,6,7,8
1948,London,Men,2,1,0,3,1,0,0,0,0
1936,Berlin,All,0,1,0,1,44,5,6,17,8
1936,Berlin,Men,0,1,0,1,4,0,0,1,0
1932,Los Angeles,All,3,1,1,5,24,5,6,17,8
1932,Los Angeles,Men,3,1,1,5,2,0,0,1,0
1928,Amsterdam,All,1,0,0,1,34,5,6,7,8
1928,Amsterdam,Men,1,0,0,1,3,0,0,0,0
1924,Paris,All,1,0,0,1,14,15,16,27,8
1924,Paris,Men,1,0,0,1,1,1,1,2,0
1920,Antwerp,All,1,0,0,1,14,15,16,7,18
1920,Antwerp,Men,1,0,0,1,1,1,1,0,1
1904,St. Louis,All,0,0,0,0,4,15,6,7,8
1904,St. Louis,Men,0,0,0,0,0,1,0,0,0
1900,Paris,All,1,0,0,1,4,15,6,7,8
1900,Paris,Men,1,0,0,1,0,1,0,0,0